restock,policy,seed,deliveries,moves,conflicts,avg_wait
20,qmix,1079,30,991,112,65.64516129032258
20,qmix,1080,2,114,759,14.5
20,qmix,1081,24,844,203,60.48
20,qmix,1082,27,986,124,63.56666666666667
20,qmix,1083,24,887,165,67.44
20,qmix,1084,13,666,358,53.13333333333333
20,qmix,1085,19,666,353,58.80952380952381
20,qmix,1086,4,374,575,34.833333333333336
20,qmix,1087,30,970,125,54.125
20,qmix,1088,19,744,288,63.142857142857146
20,qmix,1089,26,932,154,72.71428571428571
20,qmix,1090,26,915,166,78.03571428571429
20,qmix,1091,22,768,287,54.125
20,qmix,1092,28,903,181,52.107142857142854
20,qmix,1093,28,973,124,65.83333333333333
20,qmix,1094,28,984,119,65.93548387096774
20,qmix,1095,26,892,165,67.29629629629629
20,qmix,1096,30,977,122,61.16129032258065
20,qmix,1097,28,897,166,70.62068965517241
20,qmix,1098,24,901,162,68.92592592592592
20,qmix,1099,29,982,125,66.83333333333333
40,random,1000,16,584,409,50.22222222222222
40,random,1001,12,523,379,86.73333333333333
40,random,1002,16,546,442,47.55555555555556
40,random,1003,27,891,179,50.55172413793103
40,random,1004,12,650,365,46.76923076923077
40,random,1005,29,928,160,53.56666666666667
40,random,1006,2,106,764,14.5
40,random,1007,22,857,197,68.2
40,random,1008,10,384,550,35.0
40,random,1009,23,864,176,73.84615384615384
40,random,1010,32,1046,82,44.34285714285714
40,random,1011,26,942,159,61.32142857142857
40,random,1012,2,110,760,13.5
40,random,1013,2,128,745,16.0
40,random,1014,28,925,174,54.96774193548387
40,random,1015,30,955,138,47.84375
40,random,1016,25,866,194,58.107142857142854
40,random,1017,24,840,216,69.48
40,random,1018,28,963,143,48.733333333333334
40,random,1019,9,316,607,37.54545454545455
40,random,1020,26,898,198,47.3448275862069
40,random,1021,4,486,498,23.0
40,random,1022,24,858,198,61.48
40,random,1023,25,913,170,50.92857142857143
40,random,1024,20,780,261,69.68181818181819
40,random,1025,29,968,134,51.266666666666666
40,random,1026,24,845,212,56.0
40,random,1027,11,486,379,104.16666666666667
40,random,1028,20,708,338,61.0
40,random,1029,28,920,164,51.25806451612903
40,random,1030,24,878,185,70.25925925925925
40,random,1031,20,797,236,74.52173913043478
40,random,1032,24,813,203,73.42307692307692
40,random,1033,28,960,131,56.46666666666667
40,random,1034,31,1013,107,48.05714285714286
40,random,1035,6,228,673,31.75
40,random,1036,29,952,132,54.625
40,random,1037,5,232,659,29.857142857142858
40,random,1038,19,685,352,67.1
40,random,1039,6,230,673,30.5
40,random,1040,31,979,114,47.57575757575758
40,random,1041,22,811,218,70.91666666666667
40,random,1042,9,356,568,43.27272727272727
40,random,1043,29,962,138,49.5
40,random,1044,3,436,534,25.75
40,random,1045,30,952,145,49.4375
